Title,Ingredients,Steps,Loves,URL,Category,Title Cleaned,Total Ingredients,Ingredients Cleaned,Total Steps,Ingredients Final,Ingredients Join
Ayam Woku Manado,1 Ekor Ayam Kampung (potong 12)--2 Buah Jeruk Nipis--2 Sdm Garam--3 Ruas Kunyit--7 Bawang Merah--7 Bawang Putih--10 Cabe Merah--10 Cabe Rawit Merah (sesuai selera)--3 Butir Kemiri--2 Batang Sereh--2 Lembar Daun Salam--2 Ikat Daun Kemangi--Penyedap Rasa--1 1/2 Gelas Air--,"1) Cuci bersih ayam dan tiriskan. Lalu peras jeruk nipis (kalo gak ada jeruk nipis bisa pake cuka) dan beri garam. Aduk hingga merata dan diamkan selama 5 menit, biar ayam gak bau amis.
2) Goreng ayam tersebut setengah matang, lalu tiriskan
3) Haluskan bumbu menggunakan blender. Bawang merah, bawang putih, cabe merah, cabe rawit, kemiri dan kunyit. Oh iya kasih minyak sedikit yaa biar bisa di blender. Untuk sereh nya di geprek aja terus di buat simpul.
4) Setelah bumbu di haluskan barulah di tumis. Jangan lupa sereh dan daun salamnya juga ikut di tumis. Di tumis sampai berubah warna ya
5) Masukan ayam yang sudah di goreng setengah matang ke dalam bumbu yang sudah di tumis, dan diamkan 5 menit dulu. Biar bumbu meresap. Lalu tuangkan 1 1/2 Gelas air. Lalu tambahkan penyedap rasa (saya 3 Sdt, tapi sesuai selera ya) koreksi rasa dan Biar kan sampai mendidih
6) Setelah masakan mendidih, lalu masukan daun kemangi yang sudah di potong potong. Masak lagi sekitar 10 menit. And taraaaaaaaaaaaaaa..... jadi deh Ayam Woku Manadonya.
7) Oh iyaa kalo mau di tambahkan potongan tomat merah juga bisa ko. Sesuai selera aja yaa buibuuuu",1,https://cookpad.com/id/resep/4473027-ayam-woku-manado,ayam,ayam woku manado,14,"['ekor ayam', 'jeruk nipis', 'garam', 'kunyit', 'bawang merah', 'bawang putih', 'cabe merah', 'cabe rawit', 'kemiri', 'sereh', 'daun salam', 'ikat daun', 'penyedap rasa', 'gelas air']",7,"['ayam', 'jeruk_nipis', 'garam', 'kunyit', 'bawang_merah', 'bawang_putih', 'cabai_merah', 'cabai_rawit', 'kemiri', 'sereh', 'salam']",ayam jeruk_nipis garam kunyit bawang_merah bawang_putih cabai_merah cabai_rawit kemiri sereh salam
Ayam Goreng Tulang Lunak,1 kg ayam (dipotong sesuai selera jangan kecil2 ya)--2 batang serai (memarkan)--4 lembar daun jeruk--7 butir bawang putih (haluskan)--1 sdm ketumbar (haluskan)--3 ruas jari Laos (haluskan)--3 ruas jari kunyit (haluskan)--2 butir kemiri (haluskan)--secukupnya Garam--Secukupnya Air (tuk ukep ayam)--Secukupnya Minyak goreng--,"1) Haluskan bumbu2nya (BaPut, ketumbar, kemiri, kunyit, Laos, garam) hingga halus, sisihkan
2) Campur kan bumbu halus tadi dengan ayam yg sudah dicuci bersih dan sudah dipotong didalam panci presto. Uleni sampai tercampur rata.
3) Tambahkan air hingga ayam tenggelam semua. Masukkan serai dan daun jeruk nya kedalam rendaman ayam. Tutup panci presto rebus/ ukep presto sampai kurleb 45 menit. Dengan api sedang.
4) Setelah proses ukep presto selesai, tunggu suhu dingin ruang. Lalu goreng ayam dengan minyak goreng api sedang sampai ayam berwarna kecoklatan.
5) Matang dan sajikan ayam selagi hangat bersama nasi putih, sambal dgn perasan jeruk nipis, lalapan.",1,https://cookpad.com/id/resep/4471956-ayam-goreng-tulang-lunak,ayam,ayam goreng tulang lunak,11,"['ayam sesuai', 'serai memarkan', 'daun jeruk', 'bawang putih', 'ketumbar', 'laos', 'kunyit', 'kemiri', 'secukupnya garam', 'secukupnya air', 'secukupnya minyak']",5,"['ayam', 'serai', 'jeruk', 'bawang_putih', 'ketumbar', 'laos', 'kunyit', 'kemiri', 'garam', 'minyak']",ayam serai jeruk bawang_putih ketumbar laos kunyit kemiri garam minyak
Ayam Cabai Kawin,1/4 kg ayam--3 buah cabai hijau besar--7 buah cabai merah rawit--3 siung bawang putih--2 siung bawang merah--secukupnya Gula--secukupnya Garam--1/4 buah tomat merah--secukupnya Air--secukupnya Minyak goreng--,"1) Panaskan minyak di dalam wajan. Setelah minyak panas masukkan ayam yang sudah dipotong dadu. Goreng hingga matang. Lalu tiriskan.
2) Haluskan bawang putih, bawang merah, cabai hijau dan merah, tomat.
3) Panaskan minyak didalam wajan. Setelah minyak panas, masukkan bumbu yang sudah halus. Tunggu sampai wangi. Masukkan ayam yang sudah di goreng. Tambahkan air, gula dan garam. Tunggu sampai bumbu meresap di ayam. Sajikan.",2,https://cookpad.com/id/resep/4473057-ayam-cabai-kawin,ayam,ayam cabai kawin,10,"['ayam', 'cabai hijau', 'cabai merah', 'bawang putih', 'bawang merah', 'secukupnya gula', 'secukupnya garam', 'tomat merah', 'secukupnya air', 'secukupnya minyak']",3,"['ayam', 'cabai_hijau', 'cabai_merah', 'bawang_putih', 'bawang_merah', 'gula', 'garam', 'tomat_merah', 'minyak']",ayam cabai_hijau cabai_merah bawang_putih bawang_merah gula garam tomat_merah minyak
Ayam Geprek,"250 gr daging ayam (saya pakai fillet)--Secukupnya gula dan garam--50-100 gr tepung ayam serbaguna--Secukupnya lalapan (kemangi,kol,timun)--Secukupnya minyak panas--❤sambal korek--Secukupnya cabe rawit merah dan bwg putih--","1) Goreng ayam seperti ayam krispi
2) Ulek semua bahan sambal kemudian campur dengan minyak panas bekas goreng ayam
3) Geprek ayam kemudian campur dengan sambal,sajikan dengan lalapan",10,https://cookpad.com/id/resep/4473023-ayam-geprek,ayam,ayam geprek,7,"['daging ayam', 'secukupnya gula', 'tepung ayam', 'secukupnya lalapan', 'kol', 'timun', 'secukupnya minyak', 'sambal korek', 'secukupnya cabe']",3,"['ayam', 'gula', 'tepung_ayam', 'lalapan', 'kol', 'timun', 'minyak', 'sambal_korek', 'cabai']",ayam gula tepung_ayam lalapan kol timun minyak sambal_korek cabai
Minyak Ayam,"400 gr kulit ayam & lemaknya--8 siung bawang putih kating, cincang kasar--1 ruas jahe, geprek--350 ml minyak goreng--1 sdm ketumbar bubuk--","1) Cuci bersih kulit ayam. Sisihkan
2) Ambil 50 ml minyak goreng satu bahan yg sudah disiapkan tadi. Tumis jahe hingga harum.
3) Masukkan kulit ayam, ketumbar dan bawang. Biarkan hingga keluar minyak alaminya sambil diaduk-aduk.
4) Tambahkan sisa minyak goreng. Masak hingga kulit ayam mengering. Angkat dan saring.
5) Setelah cukup dingin minyak ayam tadi dapat disimpan dalam wadah kering seperti mason jar/botol. Kalo saya, saya masukkan juga sedikit bawang putih goreng.
6) Kulit ayam yg sudah digoreng kering tadi bisa dinikmati begitu saja sebagai camilan dengan ditaburi sejumput garam lalu aduk rata.",4,https://cookpad.com/id/resep/4427438-minyak-ayam,ayam,minyak ayam,5,"['kulit ayam', 'bawang putih', 'cincang kasar', 'jahe', 'ml minyak', 'ketumbar bubuk']",6,"['ayam', 'bawang_putih', 'jahe', 'minyak', 'ketumbar']",ayam bawang_putih jahe minyak ketumbar
Nasi Bakar Ayam,"1 piring nasi--¹/⁴ fillet ayam, potong kotak, cuci bersih--Daun pisang yang sudah dibersihkan--Lidi/tusuk gigi untuk mengapit daun--1 lbr daun salam--3 cm serai, memarkan--1 ikat daun kemangi, opsional--1 cabe merah besar, iris tipis--1 sdt kecap manis--Minyak untuk menumis--100 ml air--Bumbu Halus:--1 cabe merah besar--3 cabe kecil--2 siung bawang merah--1 siung bawang putih--1 kemiri--1 cm kunyit--¹/² ruas jahe--¹/⁴ tomat--1 sdt gula pasir--1 blok kaldu ayam (aku biasa pake maggy) pake royco, masako--Merica (dikira2 z takar nya, aku sdkit z sih)--","1) Tumis bumbu halus, masukkan daun salam, serai
2) Masukkan potongan ayam, kecap dan air, masak hingga air menyusut dan koreksi rasa
3) Masukkan irisan cabe merah dan daun kemangi, aduk sebentar dan matikan api
4) Tata daun pisang, tata nasi di atas daun, beri isian ayam atau bisa juga nasi di campur dan diaduk dulu dengan ayam baru di tata di daun Pisang, bunbu ayam akan lebih meresap k nasi
5) Setelah nasi di bungkus, barulah nasi di bakar, aku bakar pake teflon z br cepet
6) Sajikan selagi hangat endeusss
7) Note: Jangan membakar terlalu lama biar nasi ga kotor dari daun yg di bakar kering",1,https://cookpad.com/id/resep/4472552-nasi-bakar-ayam,ayam,nasi bakar ayam,23,"['piring nasi', 'fillet ayam', 'kotak', 'cuci bersih', 'daun pisang', 'liditusuk gigi', 'lbr daun', 'cm serai', 'ikat daun', 'opsional', 'cabe merah', 'iris tipis', 'kecap manis', 'minyak untuk', 'ml air', 'bumbu halus', 'cabe merah', 'cabe kecil', 'bawang merah', 'bawang putih', 'kemiri', 'cm kunyit', 'jahe', 'tomat', 'gula pasir', 'blok kaldu', 'masako', 'merica dikira', 'aku sdkit']",7,"['piring_nasi', 'fillet_ayam', 'kotak', 'bersih', 'pisang', 'liditusuk_gigi', 'lbr', 'serai', 'opsional', 'cabai_merah', 'kecap_manis', 'minyak', 'bumbu', 'cabai', 'bawang_merah', 'bawang_putih', 'kemiri', 'kunyit', 'jahe', 'tomat', 'gula_pasir', 'blok_kaldu', 'masako', 'merica_dikira', 'sdkit']",piring_nasi fillet_ayam kotak bersih pisang liditusuk_gigi lbr serai opsional cabai_merah kecap_manis minyak bumbu cabai bawang_merah bawang_putih kemiri kunyit jahe tomat gula_pasir blok_kaldu masako merica_dikira sdkit
Ayam Saus Hintalu Jaruk,"1/2 Ekor ayam--2 Butir Hintalu Jaruk--1 Buah Cabe merah--1 Buah Cabe hijau--300 gr Tepung terigu--1 bks Merica bubuk--2 Siung Bawang putih--1 Buah jeruk nipis--secukupnya Minyak goreng untuk menumis dan menggoreng--secukupnya Gula, garam dan penyedap rasa--","1) Potong ayam menjadi kotak-kotak ukuran sedang cuci bersih kemudian lumuri perasan jeruk nipis, garam dan merica
2) Buat adonan tepung untuk melapisi ayam. Adonan A (Tepung terigu, garam, merica, penyedap dan air es) dan adonan B (Tepung terigu, garam, merica dan penyedap)
3) Masukan daging ayam kedalam adonan A kemudian lapisi dengan adonan B, setelah itu goreng daging kedalam minyak panas sampai berwarna kuning keemasan. Angkat tiriskan
4) Cincang bawang putih,iris seron cabe merah dan cabe hijau. Lumatkan kuning hintalu jaruk aka telur asin dengan air dingin sampai berbentuk pasta
5) Tumis bawang putih dan cabe sampai harum, kemudian tuangkan ayam dan pasta kuning telur.
6) Tambahkan gula, garam, penyedap dan merica secukupnya. Tes rasa dan masal hingga mengental
7) Angkat dan sajikan bersama nasi putih panas. Selamat mencoba",0,https://cookpad.com/id/resep/4437475-ayam-saus-hintalu-jaruk,ayam,ayam saus hintalu jaruk,10,"['ekor ayam', 'hintalu jaruk', 'cabe merah', 'cabe hijau', 'tepung terigu', 'bks merica', 'bawang putih', 'jeruk nipis', 'secukupnya minyak', 'secukupnya gula', 'garam dan']",7,"['ayam', 'hintalu_jaruk', 'cabai_merah', 'cabai_hijau', 'tepung_terigu', 'merica', 'bawang_putih', 'jeruk_nipis', 'minyak', 'gula']",ayam hintalu_jaruk cabai_merah cabai_hijau tepung_terigu merica bawang_putih jeruk_nipis minyak gula
Ayam Saos Teriyaki Lada Hitam,Ayam bagian dada dan tulang--1 buah bawang bombay--2 siung bawang daun--4 siung bawang putih--1 buah cabe merah besar--1 buah cabe ijo besar--Bahan bumbu :--secukupnya Air--Mentega untuk menumis--1 bungkus saos teriyaki (2 sdm)--1 sdm gula pasir--1 bungkus royco ayam--Larutan meizena--,"1) Cara Buat :
1. Sediakan teplon or wajan beri sedikit minyak dan masukan bawang putih dan bawang bombay yang sudah di potong potong tumis sampai harum. Bisa juga sebelum dimasak ayamnya dibalurkan ke saos teriyaki dan diamkan selama 15 menit agar meresap
2) 2. Masukan ayam oseng sampai agak mateng, baru masukan cabe ijo dan merah.
Beri sedikit air
3) 3. Masukan bumbu royco ayan saos teriyaki, gula, dan bubuk lada hitam. Cicipin
4) 4. Setelah mulai mateng masukan daun bawang jika ingin kental bisa masukan larutan meizena yak. Saya tadi gak pake karena tiba tiba amnesia kirain punya tepungnya ternyata udah habis ..
Setelah masak siap disajikan dengan nasi angat.",0,https://cookpad.com/id/resep/4472877-ayam-saos-teriyaki-lada-hitam,ayam,ayam saos teriyaki lada hitam,13,"['ayam bagian', 'bawang bombay', 'bawang daun', 'bawang putih', 'cabe merah', 'cabe ijo', 'bahan bumbu', 'secukupnya air', 'mentega untuk', 'bungkus saos', 'gula pasir', 'bungkus royco', 'larutan meizena']",4,"['ayam', 'bawang_bombay', 'bawang_putih', 'cabai_merah', 'cabai_hijau', 'bahan_bumbu', 'mentega', 'saus', 'gula_pasir', 'royco', 'larutan_meizena']",ayam bawang_bombay bawang_putih cabai_merah cabai_hijau bahan_bumbu mentega saus gula_pasir royco larutan_meizena
Steak Ayam,300 gr dada ayam fillet--1 sdm air jeruk nipis--secukupnya garam--adonan basah--50 gr terigu--10 gr maizena--1/4 sdt merica--garam--secukupnya air--adonan kering--150 gr terigu--30 gr maizena--1/2 sdt merica bubuk--1/4 sdt kaldu jamur--secukupnya garam--secukupnya minyak goreng--bahan saus jamur--50 gr jamur tiram blender--3 bawang putih cincang halus--20 gr keju parut--1 sdm maizena cairkan dgn air--2 sdm saus tiram--1 sdm kecap manis--1/2 sdt merica halus--secukupnya garam & kaldu jamur--air--bahan pelengkap--buncis dan wortel di kukus--,"1) Cuci bersih ayam, iris tipis melebar, rendam dgn garam dan air jeruk nipis 10 menit, cuci
2) Campur adonan kering, sisihkan
3) Campur adonan basah, sisihkan
4) Panaskan minyak goreng dgn api sedang, gulingkan ayam pada adonan kering, lalu celup ke adonan basah, gulingkan lg pada adonan kering, jgn di remas2, kibas2 daging ayam pada adonan kering, lalu goreng di minyak yg banyak dan panas, biarkan krispinya terbentuk dl, jgn di balik2 dl, setelah cukup kering br di balik, goreng smpe matang, tiriskan
5) Blender jamur tiram kasih air sedikit. tumis bawang putih yg di cincang halus, masukkan jamur yg di blender, masukkan bumbu2 yg lain sampai meresap, lalu tuang maizena yg sdh di cairkan dgn setengah gelas air, aduk2, masukkan keju parut, aduk sampai meletup2, tes rasa, klo sdh sesuai, angkat
6) Tata dlm piring, ayam goreng tepung dan sayur kukus, siram dgn saus jamur, taburi daun bawang atau parsley jk ada.",6,https://cookpad.com/id/resep/4472822-steak-ayam,ayam,steak ayam,28,"['dada ayam', 'air jeruk', 'secukupnya garam', 'adonan basah', 'terigu', 'maizena', 'merica', 'garam', 'secukupnya air', 'adonan kering', 'terigu', 'maizena', 'merica bubuk', 'kaldu jamur', 'secukupnya garam', 'secukupnya minyak', 'bahan saus', 'jamur tiram', 'bawang putih', 'keju parut', 'maizena cairkan', 'saus tiram', 'kecap manis', 'merica halus', 'secukupnya garam', 'bahan pelengkap', 'buncis dan']",6,"['dada_ayam', 'jeruk', 'garam', 'adonan_basah', 'terigu', 'maizena', 'merica', 'adonan_kering', 'kaldu_jamur', 'minyak', 'bahan_saus', 'jamur_tiram', 'bawang_putih', 'keju', 'saus_tiram', 'kecap_manis', 'bahan_pelengkap', 'buncis']",dada_ayam jeruk garam adonan_basah terigu maizena merica adonan_kering kaldu_jamur minyak bahan_saus jamur_tiram bawang_putih keju saus_tiram kecap_manis bahan_pelengkap buncis
Ayam Saos Asam Manis Simple,1/4 kg Ayam bagian dada fillet (Potong dadu)--Secukupnya air jeruk nipis utk baluran--1 Bungkus tepung bumbu ayam instan uk besar + campur sedikit tepung terigu--3 Siung b.putih (iris tipis)--3 Siung b.merah (Iris tipis)--1 Buah b.bombay (Iris tipis)--1 Buah tomat uk besar (Haluskan)--3 sdm saos sambal--1 Sdm Saos tiram--Secukupnya Gula & garam--Secukupnya merica bubuk--,"1) Lumuri ayam yg sdh dipotong dadu dgn garam & perasan jeruk nipis (diamkan sebentar)
2) Baluri ayam dengan tepung basah, lanjutkan ke tepung kering, diamkan sebentar
3) Goreng ayam yg sdh dbaluri tepung sampai kering & matang, angkat tiriskan.
4) Membuat Saos Asam Manis : -Tumis b.merah & putih (sy suka klo bawang y agak kering)
5) Masukkan bawang bombay, tumis sebentar.
6) Masukkan tomat buah yg sdh dihaluskan tdi, tumis lagi pakai api sedang, tambahkan air secukupnya
7) Masukkan saos sambal, saos tiram, sedikit perasan jeruk nipis, gula, garam & merica (koreksi sampai rasanya terasa asam manis gurih segar)
8) Masukkan ayam yg sdh digoreng tdi kedalam saos asam manis, diamkan sebentar
9) Setelah ayam sdh cukup merasap dengan saos asam manisnya matikan api dan siap disajikan dengan nasi putih hangat",6,https://cookpad.com/id/resep/4472901-ayam-saos-asam-manis-simple,ayam,ayam saos asam manis,11,"['ayam bagian', 'secukupnya air', 'bungkus tepung', 'bputih iris', 'bmerah iris', 'bbombay iris', 'tomat uk', 'saos sambal', 'saos tiram', 'secukupnya gula', 'secukupnya merica']",9,"['ayam', 'tepung', 'bawang_putih', 'bawang_merah', 'bbombay', 'saus_sambal', 'saus_tiram', 'gula', 'merica']",ayam tepung bawang_putih bawang_merah bbombay saus_sambal saus_tiram gula merica
